Navn|Institution (uddannelse)|uddannelse_institution_1|uddannelse_institution_2|Uddannelse|uddannelse_type|uddannelse_længde|MBA|MBA_institution|År|MBA|Sted (MBA)
Jens Maaløe                     |DTU|DTU|S|Cand.polyt, PhD|NAT|PHD|Nej|Nej|1979, 1983||
Jens Peter Due Olsen              |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1990||
Jens Winther Moberg                 |CBS|CBS|S|HD & elev i A.P Møller-Mærsk|BUS|ØVR|Nej|Nej|1988||
Jeppe Christiansen              |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1985||
Jes Christian Wibroe Østergaard     ||NA|NA||NA|NA|Nej|Nej|||
Jesper Brandgaard                  |CBS|CBS|S|Cand.Merc.aud|BUS|CAND|Ja|DK||Ja|CBS
Jesper Funding Andersen            |CBS|CBS|S|Master in Business Economics|BUS|CAND|Nej|Nej|1990||
Jesper Hjulmand                   |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|||
Jesper Jarlbæk                      |CBS|CBS|S|HD|BUS|ØVR|Nej|Nej|||
Jesper Mailind                    |CBS|CBS|S|B.Sc i Business|BUS|MVU|Ja|INT2|1982|Ja|Insead
Jesper Teddy Lok                  |A.P. Møller-Mærsk, Havard/IMD/Columbia|ØVDK|S|Shippinguddannet, Efteruddannelse|PROF|ØVR|Ja|INT1||Ja|Nova University Tokyo
Johannes Madsen-Mygdal             |CBS|CBS|S||NA|NA|Nej|Nej|1975||
Johannes Poulsen                    ||NA|NA|Cand.Merc|BUS|CAND|Nej|Nej|||
Johannes Thorvald Due            |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1973||
John Stær                          |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1986||
Jørgen Buhl Rasmussen            |CBS|CBS|S|HA|BUS|MVU|Nej|Nej|1977||
Jørgen Dencker Wisborg          |CBS|CBS|S|Bachelor|BUS|MVU|Ja|DK||Ja|CBS
Jørgen Einar Tandrup              |?, Havard Business School|INT|INT|Cand.Merc, Degree 1|BUS|CAND|Nej|Nej|1971||
Jørgen Huno Rasmussen              |Danmarks Tekniske Højskole, CBS|DTU|S|Ingeniør, HD|ING|MVU|Nej|Nej|1976, 1977||
Jørgen Jensen                     |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1994||
Jørgen Mads Clausen                 |Dansk Ingeniør Akademi|DIA|S|Ingeniør|ING|MVU|Ja|INT1|1972|Ja|University of Wisconsin
Jørgen Mikael Ole Olufsen          |KU|KU|S|Cand.silv|NAT|CAND|Nej|Nej|||
Jørgen Vilhelm Løvenørn Bardenfleth|DTU|DTU|S|Ingeniør|ING|MVU|Ja|INT1|1980|Ja|UCLA
Jørn Ankær Thomsen               |KU|KU|S|Cand.jur|SAMF|CAND|Nej|Nej|1970||
Jørn Peter Jensen                  |CBS|CBS|S|HA, Cand.Merc|BUS|CAND|Nej|Nej|1986, 1988||
Jørn Wendel Andersen               |SDU, ASB|ASB|JF|HA, Cand.Merc|BUS|CAND|Nej|Nej|1974, 1977||
Jukka Pekka Pertola               |Teknisk Universitet Helsinki|INT|INT|Ingeniør|ING|MVU|Nej|Nej|1980||
Kåre Schultz                    |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1987||
Karl Mats Erik Lönnqvist          |Handelshögskolan i Stockholm|INT|INT|Cand.merc|BUS|CAND|Nej|Nej|||
Kent Arentoft                   ||NA|NA|Merkonom, HD|BUS|MVU|Nej|Nej|1987, 1989||
Kim Wessmann Fausing                |Århus Teknikum|IHA|JF|Ingeniør|ING|MVU|Ja|INT1|1987|Ja|Henley
Kjeld Johannesen                  |CBS|CBS|S|HD|BUS|ØVR|Nej|Nej|1981||
Kjeld Kirk Kristiansen             |CBS|CBS|S|HA|BUS|MVU|Ja|INT1|1971|Ja|IMD Business School, Schweiz
Knud Jørgen Aare Vest              ||NA|NA|Landbrugsuddannet|PROF|ØVR|Nej|Nej|||
Knud Werner Koch-Jensen             ||NA|NA|Maskinarbejder, Ingeniør, HD|ING|MVU|Nej|Nej|1955, 1958, 1965||
Kurt Anker Nielsen                 |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1972||
Kurt Bligaard Pedersen             |AU|AU|JF|Cand.scient.pol|SAMF|CAND|Nej|Nej|1988||
Lars Andersen                     ||NA|NA|Cand.polit|BUS|CAND|Ja|Nej|1986|Ja|
Lars Erik Holmqvist                |Göteborg Universitet|INT|INT|M.Sc. Computer science, PhD. Informatics|NAT|PHD|Nej|Nej|1996, 2000||
Lars Henrik Munch                |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|||
Lars Jensen                         |CBS|CBS|S||NA|NA|Nej|Nej|1993||
Lars Nørby Johansen              |AU|AU|JF|Cand.phil i samfundsfag|HUM|CAND|Nej|Nej|1974||
Lars Søren Rasmussen              |AAU|AAU|JF|Ingeniør|ING|MVU|Ja|INT1|1986|Ja|Scandinavian International Management Institute
Lene Skole-Sørensen             |A.P. Møller-Mærsk, ?, CBS|ØVDK|S|Shippingelev, International Shipping Education, HD|PROF|ØVR|Ja|INT1||Ja|IMD Schweiz
Majken Schultz                     ||NA|NA|Cand.scient.pol, PhD Lic.merc|SAMF|PHD|Nej|Nej|1984, 1988||
Marianne Philip                 |KU|KU|S|Cand.jur, Advokat|SAMF|CAND|Nej|Nej|1980, 1983||
Martin Lippert                     |AU|AU|JF|Cand.Oecon, PhD Økonomi|BUS|PHD|Ja|INT2|1992, 1996|Ja|Insead
Mats Jansson                       |Ôrebro Universitet|INT|INT|Økonomi, Sociologi og Kulturgeografi|SAMF|CAND|Nej|Nej|1973||
Michael Christiansen               |KU|KU|S|Cand.jur|SAMF|CAND|Nej|Nej|1970||
Michael Hedegaard Lyng         ||NA|NA|Cand.Merc.aud, HD|BUS|CAND|Nej|Nej|||
Michael Pram Rasmussen             |KU|KU|S|Cand.jur|SAMF|CAND|Nej|Nej|1980||
Michael Rasmussen                 |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1990||
Michael Ring                       |CBS, Northwestern USA|CBS|S|Marketing|BUS|CAND|Ja|INT1|1982|Ja|IMD Business School
Mogens Munkholm Elsberg            |Danmarks Tekniske Højskole, CBS|DTU|S|Ingeniør, HD i Afsætning|ING|MVU|Nej|Nej|1979, 1983||
Mogens Vinther                      |CBS, ASB|CBS|S|HD, HD|BUS|ØVR|Nej|Nej|1983, 1998||
Niels Bjørn Christiansen         ||NA|NA|Ingeniør|ING|MVU|Ja|INT2||Ja|Insead
Niels Duedahl                       |KU|KU|S|Cand.Oecon|BUS|CAND|Nej|Nej|1992||
Niels Erik Nielsen                ||NA|NA|Cand.jur|SAMF|CAND|Nej|Nej|1972||
Niels Fog                        ||NA|NA|HA, Cand.Merc|BUS|CAND|Nej|Nej|?, 1971||
Niels Jacobsen                 |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1983||
Niels Jørgen Hansen               |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|||
Niels Kristian Agner              ||NA|NA|Civiløkonom|BUS|MVU|Nej|Nej|||
Niels Thomas Heering               ||NA|NA|Cand.jur, Advokat|SAMF|CAND|Nej|Nej|||
Nikolaj Vejlsgaard                 |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1996||
Nils Smedegaard Andersen           |AU|AU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1982||
Nis Storgaard                    |Danmarks Tekniske Universitet|DTU|S|Ingeniør|ING|MVU|Nej|Nej|1974||
Ole Andersen                       |?, CBS|CBS|S|HD, Cand.Merc.aud, Statsautoriseret Revisor|BUS|CAND|Nej|Nej|1985, 1988, 1989||
Ole Dam Wehlast                    ||NA|NA|Bager|PROF|ØVR|Nej|Nej|||
Ole Steen Andersen                  ||NA|NA|Ingeniør, HD|ING|MVU|Nej|Nej|1971, 1974||
Oluf Christian Engell             ||NA|NA|Cand.jur, Advokat|SAMF|CAND|Ja|DK|1970, 1973|Ja|CBS
Peder Holk Nielsen                 |Danmarks Tekniske Universtitet|DTU|S|Ingeniør, PhD|ING|MVU|Nej|Nej|||
Per Bank                         |Odense teknikum|IHO|JF|Ingeniør|ING|MVU|Nej|Nej|1992||
Per Damborg Skovhus                 ||NA|NA|Cand.Merc.jur|BUS|CAND|Nej|Nej|||
Per Wold-Olsen                    ||NA|NA||NA|NA|Ja|INT1||Ja|Handelshøyskolen BI, University of Wisconsin - Madison
Peter Alexander Foss               |Danmarks Tekniske Højskole, CBS|DTU|S|Ingeniør, HD|ING|MVU|Nej|Nej|1980, 1981||
Peter Damgaard Jensen             |AU|AU|JF|Cand.scient.pol|SAMF|CAND|Nej|Nej|1981||
Peter Gæmelke                       |Handelsskole, Landbrugsskole|ØVDK|JF|Merkonom|BUS|MVU|Nej|Nej|1972, 1977, 1989||
Peter Johan Mads Clausen          ||NA|NA||NA|NA|Nej|Nej|||
Peter Lorens Ravn                ||NA|NA|Ingeniør, HD, PhD (System Science)|ING|PHD|Nej|Nej|1979, 1982, 1983||
Peter Lybecker                     ||NA|NA|Cand.polit|BUS|CAND|Nej|Nej|1978||
Peter Nyegaard                 |KU|KU|S|Økonomi|BUS|CAND|Nej|Nej|1986||
Peter Rathsach                    |CBS|CBS|S|Cand.Merc|BUS|CAND|Nej|Nej|1987||
Peter Schütze                      |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|1973||
Poul Arne Nielsen                  ||NA|NA|Landbrugsuddannet, Cand.scient|NAT|CAND|Nej|Nej|||
Poul Erik Skov Christensen        |Arkitektskolen, Århus|AAA|JF|Arkitekt|KUNST|MVU|Nej|Nej|||
Povl Christian Lütken Frigast    |KU|KU|S|Cand.polit|BUS|CAND|Nej|Nej|||
Preben Sunke                        |CBS|CBS|S|HD|BUS|ØVR|Ja|INT1|1988|Ja|Henley Management College
Ruth Schade                        |Holbæk Seminarium|ØVDK|S|Folkeskolelærer, Merkonom, HD|BUS|MVU|Nej|Nej|1975, 1984, 1989||
Søren Eriksen                      |SDU|SDU|JF|Cand.Oecon|BUS|CAND|Nej|Nej|1993||
Søren Thorup Sørensen             |Harvard Business School|INT|INT|MSc Accounting|BUS|CAND|Nej|Nej|1990||
Steen Hemmingsen                   |Danmarks Tekniske Universitet|DTU|S|MSc Chem.Eng|NAT|CAND|Nej|Nej|||
Steen Riisgaard                  |KU|KU|S|MSc Mikrobiologi|NAT|CAND|Nej|Nej|||
Steffen Kragh                       |CBS|CBS|S|Cand.Merc|BUS|CAND|Ja|INT1|1989|Ja|New york University
Sten Scheibye                      |AU, AU, CBS|AU|JF|Cand.Scient, PhD, HD|NAT|CAND|Nej|Nej|1978, 1981, 1983||
Sven Arne Blomberg                ||NA|NA|Cand.phil i samfundsfag, HD|HUM|CAND|Nej|Nej|||
Sven Erik Lystbæk                  ||NA|NA|Cand.polit|BUS|CAND|Nej|Nej|||
Thomas Kirk Kristiansen            ||NA|NA|Grad i marketing|BUS|CAND|Nej|Nej|1979||
Thomas Peider Hofman-Bang         |CBS|CBS|S|HD, Cand.Merc.aud, Statsautoriseret Revisor|BUS|CAND|Nej|Nej|1987, 1992, 1994||
Thomas Stig Plenborg               ||NA|NA|Cand.Merc, PhD|BUS|PHD|Nej|Nej|||
Thorkild Engell Jensen             ||NA|NA|Landbrugsmaskinmekaniker|PROF|ØVR|Nej|Nej|||
Thorleif Krarup                    ||NA|NA|HA, HD|BUS|MVU|Nej|Nej|1975, 1977||
Tom Knutzen                       |CBS|CBS|S|Master of Science (Eco), Economics|BUS|CAND|Nej|Nej|1987||
Tommy Pedersen                      ||NA|NA|HD|BUS|ØVR|Nej|Nej|||
Tonny Thierry Andersen            |CBS|CBS|S|Graduate Diploma in Business Finance |BUS|CAND|Ja|INT1|1989-1993|Ja|University of Virginia - Darden Graduate School of Business Administratio
Torben Ballegaard Sørensen         |ASB|ASB|JF| HA|BUS|MVU|Ja|DK||Ja|CBS
Torben Dalby Larsen                |Journalisthøjskolen|JHA|JF|Journalist |HUM|MVU|Nej|Nej|1971||
Torben Henning Nielsen             ||NA|NA|HD|BUS|ØVR|Nej|Nej|||
Torkil Bentzen                     ||NA|NA|Ingeniør|ING|MVU|Nej|Nej|||
Trond Ødegård Westlie               ||NA|NA|Statsautoriseret revisor|BUS|CAND|Nej|Nej|||
Ulrik Bülow                        |CBS, KU|CBS|S|Basic Rhetorics, Cand.merc.|BUS|CAND|Nej|Nej|||
Vagn Ove Sørensen                   |ASB|ASB|JF|Cand.merc|BUS|CAND|Nej|Nej|||
Vibeke Krag                      |KU|KU|S|Cand.jur.  |SAMF|CAND|Nej|Nej|||
Walther Thygesen                   |DTU|DTU|S|M.Sc., Computer Science, Physics |NAT|CAND|Ja|INT1|1975-1980|Ja|Stanford University Graduate School of Business
William Ervin Hoover||NA|NA||NA|NA|Ja|INT1||Ja|Harvard University
