"ORG_ID"|"NAVN"|"ORG_NAVN"|"POSITION"|"BESKRIVELSE"|"BIQ_PERSON_ID"
5000525|"Lars Østergaard"|"Indeks Retail"|"Direktionspost"|""|1029670
5000107|"Bjarne Uldall"|"Industriens Pension"|"Bestyrelsespost"|""|288039
5000107|"Erik Michael Bredholt"|"Industriens Pension"|"Bestyrelsespost"|""|338131
5000107|"Jens Peter Due Olsen"|"Industriens Pension"|"Bestyrelsespost"|""|441194
5000107|"Johannes Madsen-Mygdal"|"Industriens Pension"|"Bestyrelsespost"|""|452192
5000107|"Jukka Pekka Pertola"|"Industriens Pension"|"Bestyrelsespost"|""|461705
5000107|"Ole Dam Wehlast"|"Industriens Pension"|"Bestyrelsespost"|""|580691
5000107|"Palle Bo Stærmose"|"Industriens Pension"|"Bestyrelsespost"|""|591631
5000107|"Thorkild Engell Jensen"|"Industriens Pension"|"Bestyrelsespost"|""|671411
5000107|"Lars Andersen"|"Industriens Pension"|"Bestyrelsespost"|""|930101
5000107|"Kim Graugaard"|"Industriens Pension"|"Bestyrelsespost næstformand"|""|933775
5000107|"Lars Henning Hansen"|"Industriens Pension"|"Bestyrelsespost"|""|983004
5000107|"Laila Mortensen"|"Industriens Pension"|"Direktionspost adm. dir"|""|1082907
5000107|"Berit Vinther"|"Industriens Pension"|"Bestyrelsespost"|""|1182154
5000107|"Mads Bo Keis Andersen"|"Industriens Pension"|"Bestyrelsespost formand"|""|1485037
5000107|"Heidi Jensen"|"Industriens Pension"|"Bestyrelsespost"|""|7382284
5000267|"Asger Kastbjerg"|"Insepa"|"Bestyrelsespost"|""|265481
5000267|"Klaus Beyer Nielsen"|"Insepa"|"Direktionspost Administrerende direktør"|""|500447
5000267|"Sven Gunnar Schough"|"Insepa"|"Bestyrelsespost"|""|653049
5000267|"Vagn Thorup"|"Insepa"|"Bestyrelsespost formand"|""|689540
5000729|"Jes Frederik Andersen"|"Insp. Holding"|"Bestyrelsespost"|""|444296
5000729|"Niels Thorborg"|"Insp. Holding"|"Bestyrelsespost formand"|""|574844
5000729|"Ulla Iversen"|"Insp. Holding"|"Direktionspost adm. dir"|""|686352
5000729|"Ulrik Nicolai Jungersen"|"Insp. Holding"|"Bestyrelsespost næstformand"|""|687697
5000729|"Peter Sebastian Birk Pedersen"|"Insp. Holding"|"Bestyrelsespost"|""|969553
5001023|"Hans Henrik Dahl"|"Intego"|"Bestyrelsespost"|""|380493
5001023|"Jens Frost Mikkelsen"|"Intego"|"Direktionspost"|""|436040
5001023|"Jens Møller"|"Intego"|"Bestyrelsespost formand"|""|439478
5001023|"Jesper Gammelgaard"|"Intego"|"Bestyrelsespost"|""|445363
5001023|"Niels Brinch-Nielsen"|"Intego"|"Bestyrelsespost"|""|1297873
5001023|"Povl Nielsen"|"Intego"|"Bestyrelsespost"|""|1378920
