"Navn"|"Kvinder"|"Mænd"|"Samlet"|"Andel.mænd"|"Kategori"
"367"|"TORKILD"|0|333|333|1|"Mand"
"368"|"ENES"|0|331|331|1|"Mand"
"369"|"MARIUSZ"|0|331|331|1|"Mand"
"370"|"MARINUS"|0|329|329|1|"Mand"
"371"|"RICHARDT"|0|326|326|1|"Mand"
"372"|"RENE'"|0|325|325|1|"Mand"
"373"|"SYED"|0|325|325|1|"Mand"
"374"|"BOYE"|0|322|322|1|"Mand"
"375"|"HÜSEYIN"|0|319|319|1|"Mand"
"376"|"GERNER"|0|316|316|1|"Mand"
"377"|"RUDOLF"|0|316|316|1|"Mand"
"378"|"KNUD-ERIK"|0|315|315|1|"Mand"
"379"|"MIK"|0|315|315|1|"Mand"
"380"|"SOPHUS"|0|314|314|1|"Mand"
"381"|"FIND"|0|313|313|1|"Mand"
"382"|"RICKI"|0|311|311|1|"Mand"
"383"|"THUE"|0|311|311|1|"Mand"
"384"|"VAGNER"|0|311|311|1|"Mand"
"385"|"ARTUR"|0|310|310|1|"Mand"
"386"|"HANS-ERIK"|0|305|305|1|"Mand"
"387"|"JENS-ERIK"|0|305|305|1|"Mand"
"388"|"MARIO"|0|305|305|1|"Mand"
"389"|"HALIL"|0|299|299|1|"Mand"
"390"|"FRANDS"|0|297|297|1|"Mand"
"391"|"ABBAS"|0|295|295|1|"Mand"
"392"|"HECTOR"|0|294|294|1|"Mand"
"393"|"HAKAN"|0|293|293|1|"Mand"
"394"|"NIELS-JØRGEN"|0|293|293|1|"Mand"
"395"|"WILHELM"|0|293|293|1|"Mand"
"396"|"YUNUS"|0|293|293|1|"Mand"
"397"|"JOHANN"|0|292|292|1|"Mand"
"398"|"YOUSEF"|0|292|292|1|"Mand"
"399"|"CARL-EMIL"|0|291|291|1|"Mand"
"400"|"MICKI"|0|290|290|1|"Mand"
"401"|"WALID"|0|290|290|1|"Mand"
"402"|"IGOR"|0|289|289|1|"Mand"
"403"|"ÖMER"|0|289|289|1|"Mand"
"404"|"CORNELIUS"|0|288|288|1|"Mand"
"405"|"KENAN"|0|287|287|1|"Mand"
"406"|"NICHOLAI"|0|286|286|1|"Mand"
"407"|"THYGE"|0|286|286|1|"Mand"
"408"|"HANNIBAL"|0|285|285|1|"Mand"
"409"|"VILLUM"|0|285|285|1|"Mand"
"410"|"ARNOLD"|0|284|284|1|"Mand"
"411"|"BENNO"|0|282|282|1|"Mand"
"412"|"JAKUB"|0|282|282|1|"Mand"
"413"|"NIKOLAS"|0|282|282|1|"Mand"
"414"|"PAULI"|0|282|282|1|"Mand"
"415"|"KARIM"|0|281|281|1|"Mand"
"416"|"DARIUSZ"|0|280|280|1|"Mand"
"417"|"RALPH"|0|278|278|1|"Mand"
"418"|"EDWARD"|0|277|277|1|"Mand"
"419"|"ELMER"|0|275|275|1|"Mand"
"420"|"AGNER"|0|274|274|1|"Mand"
"421"|"EMIR"|0|274|274|1|"Mand"
"422"|"XANDER"|0|273|273|1|"Mand"
"423"|"REGNAR"|0|269|269|1|"Mand"
"424"|"ANTHON"|0|266|266|1|"Mand"
"425"|"KEMAL"|0|266|266|1|"Mand"
"426"|"HERBERT"|0|265|265|1|"Mand"
"427"|"FATIH"|0|264|264|1|"Mand"
"428"|"MILO"|0|264|264|1|"Mand"
"429"|"VILLIAM"|0|263|263|1|"Mand"
"430"|"FABIAN"|0|261|261|1|"Mand"
"431"|"ROAR"|0|261|261|1|"Mand"
"432"|"MIGUEL"|0|260|260|1|"Mand"
"433"|"MACIEJ"|0|258|258|1|"Mand"
"434"|"JÜRGEN"|0|257|257|1|"Mand"
"435"|"ESKIL"|0|256|256|1|"Mand"
"436"|"ESKE"|0|255|255|1|"Mand"
"437"|"WOJCIECH"|0|252|252|1|"Mand"
"438"|"ALEKSANDAR"|0|251|251|1|"Mand"
"439"|"JACEK"|0|250|250|1|"Mand"
"440"|"MADS-EMIL"|0|250|250|1|"Mand"
"441"|"JIMMIE"|0|248|248|1|"Mand"
"442"|"ÅGE"|0|248|248|1|"Mand"
"443"|"INGVARD"|0|247|247|1|"Mand"
"444"|"NIELS-HENRIK"|0|247|247|1|"Mand"
"445"|"JENS-CHRISTIAN"|0|245|245|1|"Mand"
"446"|"EIVIND"|0|244|244|1|"Mand"
"447"|"MILAS"|0|241|241|1|"Mand"
"448"|"ABDIRAHMAN"|0|239|239|1|"Mand"
"449"|"ALVIN"|0|239|239|1|"Mand"
"450"|"ARLY"|0|238|238|1|"Mand"
"451"|"MARKO"|0|237|237|1|"Mand"
"452"|"WOLFGANG"|0|237|237|1|"Mand"
"453"|"HARTVIG"|0|236|236|1|"Mand"
"454"|"ROALD"|0|236|236|1|"Mand"
"455"|"MARCK"|0|235|235|1|"Mand"
"456"|"ZACHARIAS"|0|235|235|1|"Mand"
"457"|"FRANTZ"|0|234|234|1|"Mand"
"458"|"VALENTIN"|0|232|232|1|"Mand"
"459"|"SCOTT"|0|231|231|1|"Mand"
"460"|"DAMIAN"|0|230|230|1|"Mand"
"461"|"BØJE"|0|229|229|1|"Mand"
"462"|"HERMANN"|0|229|229|1|"Mand"
"463"|"OMER"|0|229|229|1|"Mand"
"464"|"NICKOLAI"|0|227|227|1|"Mand"
"465"|"NICKOLAJ"|0|227|227|1|"Mand"
"466"|"RAMI"|0|227|227|1|"Mand"
"467"|"ANDREI"|0|225|225|1|"Mand"
"468"|"ARON"|0|225|225|1|"Mand"
"469"|"HARIS"|0|225|225|1|"Mand"
"470"|"TORKIL"|0|224|224|1|"Mand"
"471"|"EDVIN"|0|223|223|1|"Mand"
"472"|"YOUNES"|0|223|223|1|"Mand"
"473"|"ZANDER"|0|222|222|1|"Mand"
"474"|"FIN"|0|221|221|1|"Mand"
"475"|"MANFRED"|0|221|221|1|"Mand"
"476"|"JAROSLAW"|0|220|220|1|"Mand"
"477"|"SIGFRED"|0|220|220|1|"Mand"
"478"|"ARNO"|0|219|219|1|"Mand"
"479"|"RAYMOND"|0|219|219|1|"Mand"
"480"|"EDIN"|0|217|217|1|"Mand"
"481"|"RENÈ"|0|217|217|1|"Mand"
"482"|"GUDMUND"|0|216|216|1|"Mand"
"483"|"ISAAC"|0|216|216|1|"Mand"
"484"|"METIN"|0|214|214|1|"Mand"
"485"|"TERKEL"|0|214|214|1|"Mand"
"486"|"LUI"|0|213|213|1|"Mand"
"487"|"MANUEL"|0|213|213|1|"Mand"
"488"|"WALDEMAR"|0|213|213|1|"Mand"
"489"|"KUNO"|0|212|212|1|"Mand"
"490"|"KHALIL"|0|210|210|1|"Mand"
"491"|"MAHDI"|0|210|210|1|"Mand"
"492"|"ZAKARIA"|0|210|210|1|"Mand"
"493"|"FRANTS"|0|209|209|1|"Mand"
"494"|"MARVIN"|0|209|209|1|"Mand"
"495"|"GÜNTHER"|0|208|208|1|"Mand"
"496"|"ORHAN"|0|208|208|1|"Mand"
"497"|"TORBJØRN"|0|208|208|1|"Mand"
"498"|"HJALMAR"|0|206|206|1|"Mand"
"499"|"OSVALD"|0|206|206|1|"Mand"
"500"|"SVEN-ERIK"|0|206|206|1|"Mand"
"501"|"KJELL"|0|203|203|1|"Mand"
"502"|"ZAKARIAS"|0|203|203|1|"Mand"
"503"|"EDMUND"|0|202|202|1|"Mand"
"504"|"SVEND-AAGE"|0|202|202|1|"Mand"
"505"|"TIMOTHY"|0|202|202|1|"Mand"
"506"|"HADI"|0|201|201|1|"Mand"
"507"|"BERND"|0|198|198|1|"Mand"
"508"|"NABIL"|0|198|198|1|"Mand"
"509"|"SINAN"|0|198|198|1|"Mand"
"510"|"ARMIN"|0|197|197|1|"Mand"
"511"|"ESPEN"|0|197|197|1|"Mand"
"512"|"ROGER"|0|197|197|1|"Mand"
"513"|"EJLIF"|0|196|196|1|"Mand"
"514"|"SLAWOMIR"|0|196|196|1|"Mand"
"515"|"JACQUES"|0|195|195|1|"Mand"
"516"|"VLADIMIR"|0|192|192|1|"Mand"
"517"|"ZBIGNIEW"|0|192|192|1|"Mand"
